Libelle_point_arret;A;B;C;D;E;H;J;K;L;N;P;R;U
COURCELLE SUR YVETTE;;1;;;;;;;;;;;
FONTENAY AUX ROSES;;1;;;;;;;;;;;
PALAISEAU VILLEBON;;1;;;;;;;;;;;
EPINAY SUR ORGE;;;1;;;;;;;;;;
CHAMP DE COURSES D'ENGHIEN;;;;;;1;;;;;;;
CHAMARANDE;;;1;;;;;;;;;;
EPINAY VILLETANEUSE;;;;;;1;;;;;;;
CLAMART;;;;;;;;;;1;;;
ESBLY;;;;;;;;;;;1;;
SARTROUVILLE;1;;;;;;;;1;;;;
SAINT-GERMAIN EN LAYE BEL AIR FOURQUEUX;;;;;;;;;1;;;;
PEREIRE LEVALLOIS;;;1;;;;;;;;;;
VILLENEUVE TRIAGE;;;;1;;;;;;;;;
PORTE DE CLICHY;;;1;;;;;;;;;;
RUEIL MALMAISON;1;;;;;;;;;;;;
VAUBOYEN;;;1;;;;;;;;;;
SAINT-OUEN;;;1;;;;;;;;;;
SANNOIS;;;;;;;1;;;;;;
ROSA PARKS;;;;;1;;;;;;;;
PORT ROYAL;;1;;;;;;;;;;;
CESSON;;;;1;;;;;;;;;
ISSY VAL DE SEINE;;;1;;;;;;;;;;
LA PLAINE STADE DE FRANCE - Saint-Denis Aubervilliers;;1;;;;;;;;;;;
LA BORNE BLANCHE;;;;1;;;;;;;;;
CHANTELOUP LES VIGNES;;;;;;;1;;;;;;
ABLON;;;1;;;;;;;;;;
ARGENTEUIL;;;;;;;1;;;;;;
MONTARGIS;;;;;;;;;;;;1;
MERIEL;;;;;;1;;;;;;;
CHAMPIGNY;1;;;;;;;;;;;;
CHARTRETTES;;;;;;;;;;;;1;
ANDRESY;;;;;;;1;;;;;;
SEVRES RIVE GAUCHE;;;;;;;;;;1;;;
ORGERUS BEHOUST;;;;;;;;;;1;;;
TOURNAN;;;;;1;;;;;;1;;
SAINT-OUEN L'AUMONE QUARTIER DE L'EGLISE;;;;;;;1;;;;;;
ROSNY BOIS PERRIER;;;;;1;;;;;;;;
PORCHEFONTAINE;;;1;;;;;;;;;;
SAINT-CHERON;;;1;;;;;;;;;;
DAMMARTIN JUILLY SAINT-MARD;;;;;;;;1;;;;;
ARPAJON;;;1;;;;;;;;;;
THIEUX NANTOUILLET;;;;;;;;1;;;;;
ROSNY SUR SEINE;;;;;;;1;;;;;;
BESSANCOURT;;;;;;1;;;;;;;
